date,Tic,open,high ,low,close,volume 
2/4/2007,Fameli,10,10,9,9.26,172898994
2/5/2007,Fameli,9.45,9.45,9.45,9.45,10826496
2/6/2007,Fameli,9.63,9.63,9.63,9.63,26850133
2/7/2007,Fameli,9.83,9.83,9.83,9.83,31086849
2/10/2007,Fameli,10.02,10.02,10.02,10.02,40645528
2/12/2007,Fameli,10.22,10.22,10.03,10.03,215513
2/13/2007,Fameli,10.23,10.23,10.23,10.23,5110524
2/14/2007,Fameli,10.43,10.43,10.43,10.43,5103628
2/17/2007,Fameli,10.64,10.64,10.35,10.59,35308907
2/18/2007,Fameli,10.6,10.64,10.38,10.57,14815582
2/19/2007,Fameli,10.36,10.54,10.36,10.54,564225
2/20/2007,Fameli,10.33,10.48,10.33,10.48,1354521
3/13/2007,Fameli,10.47,10.49,10.1,10.28,1930522
3/14/2007,Fameli,10.22,10.3,4.63,10.23,1160513315
3/17/2007,Fameli,10.4,10.41,10.18,10.25,3663321
3/19/2007,Fameli,10.28,10.46,10.28,10.3,1436849
3/25/2007,Fameli,10.51,10.51,10.37,10.37,1629327
3/26/2007,Fameli,10.58,10.58,10.37,10.37,27899
3/27/2007,Fameli,10.58,10.58,10.37,10.37,26534
3/28/2007,Fameli,10.58,10.58,10.38,10.38,131210
3/31/2007,Fameli,10.59,10.59,10.39,10.39,294199
4/3/2007,Fameli,10.6,10.6,10.4,10.4,117711
4/4/2007,Fameli,10.6,10.6,10.41,10.41,260851
4/7/2007,Fameli,10.62,10.62,10.42,10.42,326721
4/8/2007,Fameli,10.63,10.63,10.44,10.44,437546
4/9/2007,Fameli,10.65,10.65,10.46,10.46,320534
4/10/2007,Fameli,10.66,10.66,10.47,10.47,285858
4/11/2007,Fameli,10.68,10.68,10.48,10.48,215785
4/14/2007,Fameli,10.69,10.69,10.49,10.49,259123
4/15/2007,Fameli,10.7,10.7,10.5,10.5,150035
4/16/2007,Fameli,10.71,10.71,10.51,10.51,102697
4/17/2007,Fameli,10.72,10.72,10.51,10.51,120510
4/18/2007,Fameli,10.72,10.72,10.53,10.53,393010
4/21/2007,Fameli,10.74,10.74,10.54,10.54,344480
4/22/2007,Fameli,10.75,10.75,10.56,10.56,341887
4/23/2007,Fameli,10.77,10.77,10.57,10.57,306431
4/24/2007,Fameli,10.78,10.78,10.58,10.58,206873
4/25/2007,Fameli,10.79,10.79,10.79,10.79,10010000
4/28/2007,Fameli,11.01,11.01,11.01,11.01,20019047
4/29/2007,Fameli,11.23,11.23,11.23,11.23,20413178
4/30/2007,Fameli,11.45,11.45,11.25,11.44,30863520
5/1/2007,Fameli,11.44,11.67,11.28,11.53,5956891
5/2/2007,Fameli,11.6,11.76,11.53,11.75,8963844
5/5/2007,Fameli,11.98,11.98,11.9,11.98,20471440
5/6/2007,Fameli,12.12,12.22,12.07,12.22,17198866
5/7/2007,Fameli,12.46,12.46,12.46,12.46,15189031
5/8/2007,Fameli,12.71,12.71,12.64,12.64,3525095
5/9/2007,Fameli,12.9,12.9,12.88,12.89,11711229
5/12/2007,Fameli,13.15,13.15,12.7,13.05,10598792
5/13/2007,Fameli,13.19,13.31,13.12,13.31,7783711
5/14/2007,Fameli,13.52,13.57,13.31,13.53,23316685
5/15/2007,Fameli,13.3,13.49,13.26,13.27,9180877
5/16/2007,Fameli,13.01,13.27,13.01,13.03,13605148
5/19/2007,Fameli,12.77,12.94,12.77,12.77,4833707
5/20/2007,Fameli,12.51,12.75,12.51,12.53,8104843
5/21/2007,Fameli,12.75,12.78,12.5,12.65,3927632
5/22/2007,Fameli,12.89,12.91,12.75,12.79,2563487
5/23/2007,Fameli,12.79,12.79,12.54,12.55,5925264
5/26/2007,Fameli,12.53,12.53,12.3,12.33,4086050
5/27/2007,Fameli,12.1,12.57,12.1,12.32,3502315
5/28/2007,Fameli,12.51,12.57,12.25,12.36,1263561
5/29/2007,Fameli,12.47,12.6,12.46,12.46,2302219
5/30/2007,Fameli,12.69,12.71,5.88,12.7,260336069
6/2/2007,Fameli,12.95,12.95,12.83,12.83,2320172
6/24/2007,Fameli,12.25,12.47,12,12.15,12985678
6/25/2007,Fameli,12.25,12.39,12.19,12.28,5160953
6/26/2007,Fameli,12.35,12.36,12.03,12.04,7269805
6/27/2007,Fameli,11.87,11.88,11.8,11.8,6336469
6/30/2007,Fameli,12.04,12.04,11.96,11.96,1531305
7/1/2007,Fameli,12.19,12.19,12.1,12.1,1416466
7/2/2007,Fameli,12.34,12.34,12.24,12.24,1308007
7/3/2007,Fameli,12.48,12.48,12.39,12.39,1490290
7/4/2007,Fameli,12.64,12.64,12.54,12.54,1385090
7/7/2007,Fameli,12.79,12.79,12.68,12.68,1320646
7/8/2007,Fameli,12.94,12.94,12.88,12.88,1841953
7/9/2007,Fameli,13.14,13.14,13.13,13.13,2253974
7/10/2007,Fameli,13.4,13.4,13.36,13.36,2012713
7/11/2007,Fameli,13.63,13.63,13.63,13.63,3066667
7/14/2007,Fameli,13.9,13.9,13.9,13.9,5956560
7/15/2007,Fameli,14.18,14.18,13.62,13.87,18748194
7/16/2007,Fameli,14.09,14.15,13.77,14.11,16515576
7/17/2007,Fameli,14.11,14.39,14.09,14.25,6804080
7/18/2007,Fameli,14.3,14.44,14.09,14.23,2769881
7/21/2007,Fameli,14.51,14.51,14.38,14.51,12489496
7/22/2007,Fameli,14.71,14.8,14.67,14.79,13698633
7/23/2007,Fameli,15.09,15.09,15.09,15.09,5718432
7/24/2007,Fameli,15.39,15.39,15.2,15.37,16211810
7/25/2007,Fameli,15.52,15.67,15.38,15.56,4405659
7/29/2007,Fameli,15.79,15.87,15.65,15.84,5060601
7/30/2007,Fameli,16.16,16.16,16.1,16.1,1937322
7/31/2007,Fameli,16.42,16.42,16.12,16.12,91536
8/1/2007,Fameli,16.44,16.44,16.13,16.13,72695
8/4/2007,Fameli,16.45,16.45,16.45,16.45,5000376
8/5/2007,Fameli,16.78,16.78,16.48,16.48,255509
8/6/2007,Fameli,16.81,16.81,16.52,16.52,263946
8/7/2007,Fameli,16.85,16.85,16.54,16.54,161001
8/8/2007,Fameli,16.87,16.87,16.56,16.56,92565
8/12/2007,Fameli,16.89,16.89,16.65,16.65,690607
8/13/2007,Fameli,16.99,16.99,16.68,16.68,203340
8/14/2007,Fameli,17.02,17.02,16.89,16.89,1442217
8/15/2007,Fameli,17.23,17.23,17,17,739150
8/18/2007,Fameli,16.66,17.25,16.66,16.67,33237694
8/19/2007,Fameli,17,17,16.75,16.99,2663545
8/20/2007,Fameli,17.32,17.32,17.32,17.32,2319976
8/21/2007,Fameli,17.67,17.67,17.37,17.66,17026529
8/22/2007,Fameli,17.97,18,17.66,17.76,5475948
8/25/2007,Fameli,18.12,18.12,17.95,18.09,9822389
8/26/2007,Fameli,18.09,18.09,17.77,17.94,6285017
8/27/2007,Fameli,17.96,18,17.58,17.77,4878543
8/28/2007,Fameli,17.99,18.12,17.88,18.11,4311947
9/1/2007,Fameli,18.47,18.47,18.14,18.14,210465
9/2/2007,Fameli,18.5,18.5,18.21,18.21,410902
9/3/2007,Fameli,18.57,18.57,18.33,18.33,771658
9/4/2007,Fameli,18.69,18.69,18.36,18.36,193221
9/5/2007,Fameli,18.72,18.72,18.72,18.72,4601214
9/8/2007,Fameli,19.09,19.09,19.09,19.09,4133078
9/10/2007,Fameli,21.75,22.21,20.76,21.7,18996600
9/11/2007,Fameli,22.13,22.13,21.41,21.93,12136549
9/12/2007,Fameli,21.93,21.93,21.5,21.52,42004798
9/15/2007,Fameli,21.09,21.25,21.09,21.09,5492458
9/16/2007,Fameli,20.67,21.08,20.67,21.08,50487
9/17/2007,Fameli,20.66,21.07,20.66,21.07,10002
9/18/2007,Fameli,20.66,21.06,20.66,21.06,83854
9/19/2007,Fameli,20.64,20.64,20.64,20.64,3880835
9/22/2007,Fameli,21.05,21.48,20.73,21.04,18698104
9/23/2007,Fameli,21.44,21.45,21.05,21.29,3992597
9/24/2007,Fameli,21.3,21.37,21.03,21.19,3106901
9/25/2007,Fameli,21.18,21.61,21.16,21.56,6090087
9/26/2007,Fameli,21.56,21.56,21.14,21.41,1080247
9/29/2007,Fameli,21.82,21.84,21.08,21.5,3153123
